Iteration,Simulated Annealing,Quantum Annealing
1,1.0,0.9336734693877551
2,1.0,0.9183673469387755
3,1.0,0.9183673469387755
4,1.0,0.9846938775510204
5,1.0,0.9744897959183674
6,1.0,0.9183673469387755
7,1.0,0.9795918367346939
8,1.0,0.9642857142857143
9,1.0,0.9285714285714286
10,1.0,0.9795918367346939
11,1.0,1.0
12,1.0,0.9387755102040817
13,1.0,0.9591836734693877
14,1.0,0.9642857142857143
15,1.0,0.9948979591836735
16,1.0,0.9846938775510204
17,1.0,0.9642857142857143
18,1.0,0.9897959183673469
19,1.0,0.9948979591836735
20,1.0,0.9897959183673469
21,1.0,0.9795918367346939
22,1.0,0.9744897959183674
23,1.0,0.9387755102040817
24,1.0,0.9846938775510204
25,1.0,0.9540816326530612
26,1.0,0.9642857142857143
27,1.0,0.9846938775510204
28,1.0,0.9948979591836735
29,1.0,0.9897959183673469
30,1.0,0.9948979591836735
31,1.0,0.9897959183673469
32,1.0,0.9846938775510204
33,1.0,0.9948979591836735
34,1.0,1.0
35,1.0,0.9591836734693877
36,1.0,1.0
37,1.0,0.9744897959183674
38,1.0,1.0
39,1.0,0.9846938775510204
40,1.0,0.9744897959183674
41,1.0,0.9948979591836735
42,1.0,0.9489795918367347
43,1.0,0.9897959183673469
44,1.0,0.9897959183673469
45,1.0,0.9795918367346939
46,1.0,1.0
47,1.0,0.9897959183673469
48,1.0,1.0
49,1.0,0.9948979591836735
50,1.0,1.0
51,1.0,0.9795918367346939
52,1.0,0.9693877551020408
53,1.0,0.9795918367346939
54,1.0,1.0
55,1.0,0.9948979591836735
56,1.0,0.9948979591836735
57,1.0,0.9846938775510204
58,1.0,0.9795918367346939
59,1.0,1.0
60,1.0,0.9846938775510204
61,1.0,0.9693877551020408
62,1.0,0.9846938775510204
63,1.0,1.0
64,1.0,1.0
65,1.0,0.9948979591836735
66,1.0,0.9948979591836735
67,1.0,0.9795918367346939
68,1.0,0.9948979591836735
69,1.0,1.0
70,1.0,1.0
71,1.0,1.0
72,1.0,1.0
73,1.0,0.9540816326530612
74,1.0,0.9897959183673469
75,1.0,1.0
76,1.0,0.9693877551020408
77,1.0,0.9948979591836735
78,1.0,0.9795918367346939
79,1.0,1.0
80,1.0,1.0
81,1.0,1.0
82,1.0,0.9897959183673469
83,1.0,1.0
84,1.0,1.0
85,1.0,1.0
86,1.0,1.0
87,1.0,0.9846938775510204
88,1.0,1.0
89,1.0,0.9897959183673469
90,1.0,0.9846938775510204
91,1.0,0.9846938775510204
92,1.0,0.9948979591836735
93,1.0,1.0
94,1.0,1.0
95,1.0,0.9897959183673469
96,1.0,0.9948979591836735
97,1.0,0.9693877551020408
98,1.0,1.0
99,1.0,1.0
100,1.0,0.9948979591836735
