N_PARTICLES,Solver,Percentage_Similarity,Hamming_Distance,F1_Score,Cost_Energy
5,qubosolverHr,100.0,0.0,1.0,-10.0
5,qubosolverTABU,100.0,0.0,1.0,-10.0
10,qubosolverHr,100.0,0.0,1.0,-20.0
10,qubosolverTABU,100.0,0.0,1.0,-20.0
20,qubosolverHr,95.0,0.05,0.4117647058823529,-10.0
20,qubosolverTABU,93.25,0.0675,0.2894736842105263,-10.0
30,qubosolverHr,94.22222222222221,0.057777777777777775,0.01886792452830189,0.0
30,qubosolverTABU,96.33333333333334,0.03666666666666667,0.08333333333333334,0.0
40,qubosolverHr,96.125,0.03875,0.04615384615384615,0.0
40,qubosolverTABU,52.09375000000001,0.4790625,0.04959702417854928,35564.0
50,qubosolverHr,96.67999999999999,0.0332,0.023529411764705885,0.0
50,qubosolverTABU,51.68000000000001,0.4832,0.03668261562998405,67302.0
60,qubosolverHr,97.125,0.02875,0.009569377990430622,0.0
60,qubosolverTABU,51.208333333333336,0.48791666666666667,0.037270485064401206,109430.0
70,qubosolverHr,97.57142857142857,0.024285714285714285,0.024590163934426233,0.0
70,qubosolverTABU,50.91836734693877,0.49081632653061225,0.026709834075273168,168334.0
80,qubosolverHr,97.84375,0.0215625,0.028169014084507043,0.0
80,qubosolverTABU,50.6953125,0.493046875,0.02230828814872192,247376.0
